stop_id,stop_name,route_name,latitude,longitude
IDFM:41673,Georges Millandy,T6,48.783377242510845,2.2305618235735856
IDFM:41674,Georges Millandy,T6,48.78357956408129,2.2312529719033667
IDFM:2343,Georges Pompidou,T6,48.78494817626303,2.237099053376046
IDFM:2346,Georges Pompidou,T6,48.784858242636766,2.237100368305561
IDFM:2342,Hôpital Béclère,T6,48.78669543253745,2.254577527895755
IDFM:2344,Hôpital Béclère,T6,48.786748628561156,2.2544542669725383
IDFM:2327,Inovel Parc Nord,T6,48.78134841711339,2.2091153745461254
IDFM:2333,Inovel Parc Nord,T6,48.781428816835,2.209032496556274
IDFM:2329,L'Onde (Maison des Arts),T6,48.78192907052959,2.1804982309435825
IDFM:41852,L'Onde (Maison des Arts),T6,48.78202827707343,2.1805375032279275
IDFM:2330,Louvois,T6,48.780122091455084,2.196517886505121
IDFM:2334,Louvois,T6,48.78003206639097,2.1965056630980224
IDFM:2340,Mail de la Plaine,T6,48.78374269982313,2.246984255244028
IDFM:2341,Mail de la Plaine,T6,48.78366210243149,2.2470398600557604
IDFM:2331,Mairie de Vélizy,T6,48.780493377956695,2.1915582441503356
IDFM:2332,Mairie de Vélizy,T6,48.78041133277371,2.1913961992214706
IDFM:2347,Meudon-la-Forêt,T6,48.7835951131364,2.2253049825884723
IDFM:2348,Meudon-la-Forêt,T6,48.78356733886981,2.2251829010480453
IDFM:2338,Parc André Malraux,T6,48.79992226990009,2.2819172935381395
IDFM:41670,Parc André Malraux,T6,48.79985972577238,2.281986227494856
IDFM:2339,Pavé Blanc,T6,48.780919973858374,2.2401112549203135
IDFM:2345,Pavé Blanc,T6,48.78074840684925,2.2400048759245865
IDFM:41850,Robert Wagner,T6,48.78517390333494,2.1788820103815865
IDFM:41853,Robert Wagner,T6,48.78513849126931,2.178964233203961
IDFM:41857,Soleil Levant,T6,48.790275605481305,2.2633606463464826
IDFM:41858,Soleil Levant,T6,48.79031057194821,2.2631968070897
IDFM:41671,Vauban,T6,48.80721821660816,2.2943031744221876
IDFM:41672,Vauban,T6,48.80719878309954,2.294058340581349
IDFM:41851,Vélizy 2,T6,48.78490967437756,2.2199908686470313
IDFM:41854,Vélizy 2,T6,48.78500860115217,2.2199893897850744
IDFM:422039,Viroflay - Rive Droite,T6,48.80561009622073,2.1686748606512247
IDFM:422040,Viroflay - Rive Droite,T6,48.80561217889366,2.1689743857162034
IDFM:422037,Viroflay - Rive Gauche,T6,48.80099564654413,2.1711991185385857
IDFM:422038,Viroflay - Rive Gauche,T6,48.8010238530518,2.1713756664275206
IDFM:29894,Aéroport d'Orly,T7,48.72955298083611,2.3682008466272535
IDFM:35927,Aéroport d'Orly,T7,48.729571616306195,2.368322986536
IDFM:29897,Auguste Perret (Cimetière Parisien),T7,48.76333382151934,2.3678192066888246
IDFM:35931,Auguste Perret (Cimetière Parisien),T7,48.763378213742165,2.367709829472114
IDFM:29902,Bretagne,T7,48.768201183107806,2.3681004100826413
IDFM:413057,Bretagne,T7,48.76820046329727,2.3679643567261746
IDFM:29898,Caroline Aigle (Orlyfret),T7,48.738511893495435,2.369982657031674
IDFM:29899,Caroline Aigle (Orlyfret),T7,48.73873595049087,2.3698303703953347
IDFM:35929,Chevilly-Larue,T7,48.7595396255455,2.366382322204741
IDFM:35930,Chevilly-Larue,T7,48.75962056877212,2.366381339786971
IDFM:35932,Coeur d'Orly,T7,48.73404803036111,2.371192271245693
IDFM:460558,Coeur d'Orly,T7,48.73349234197916,2.3715660843582294
IDFM:29895,Domaine Chérioux,T7,48.778972831519006,2.367466444252223
IDFM:29896,Domaine Chérioux,T7,48.778918221808496,2.3673446251578003
IDFM:29893,Hélène Boucher (Orlytech),T7,48.74002118038836,2.3595069186987048
IDFM:35928,Hélène Boucher (Orlytech),T7,48.739931169050436,2.3594944237431474
IDFM:35937,La Belle Epine,T7,48.75668971589999,2.368321359060268
IDFM:35941,La Belle Epine,T7,48.7566902914413,2.3684301777519883
IDFM:29900,La Fraternelle,T7,48.74172120277371,2.352849598393902
IDFM:35942,La Fraternelle,T7,48.741684564028205,2.352727658537549
IDFM:35945,Lamartine,T7,48.78314402497237,2.3670756282488945
IDFM:460559,Lamartine,T7,48.78327079902779,2.3672374121860154
IDFM:29904,Moulin Vert,T7,48.772067499844496,2.3678767059851387
IDFM:29905,Moulin Vert,T7,48.77203979899573,2.3677409694016562
IDFM:35936,Place de la Logistique,T7,48.75285109222686,2.3619203520174077
IDFM:35940,Place de la Logistique,T7,48.75278864475148,2.3620163305782853
